Day,Date,Format,Working_Title,Pillar,Status,Rights_Status,Notes
1,2026-07-16,Long,لما العلماء كذبوا… والطبيعة صارت أذكى منهم!,Science,Idea,Unconfirmed - script drafted awaiting Founder review and rights confirmation,Founder-ordered episode 1 - production package RA-VID-001
2,2026-07-17,Short,العالم الذي حرّك القارات… ولم يصدقه أحد,Science,Idea,Unconfirmed - script drafted awaiting Founder review and rights confirmation,Founder-ordered Short 1 - production package RA-SRT-001
4,2026-07-19,Long,الطبيب الذي أنقذ ملايين الأمهات… وسخر منه الجميع,Science / Humanity,Idea,Unconfirmed,Semmelweis
5,2026-07-20,Short,الطبيب الذي غسل يديه… فطُرد من المستشفى,Science,Idea,Unconfirmed,
7,2026-07-22,Long,الاكتشاف الذي بدأ بإهمال: قصة البنسلين,Science,Idea,Unconfirmed,
8,2026-07-23,Short,الحجارة التي سقطت من السماء… وأنكرها العلم,Science,Idea,Unconfirmed,
10,2026-07-25,Long,حرب التيارات: إديسون ضد تسلا,Strategy / History,Idea,Unconfirmed,
11,2026-07-26,Short,سمكة ظنناها منقرضة منذ ٦٦ مليون سنة,Science,Idea,Unconfirmed,
13,2026-07-28,Long,من قتل الديناصورات؟ قصة أعظم تحقيق علمي,Science,Idea,Unconfirmed,
14,2026-07-29,Short,النحلة التي تغلبت على المهندسين,Nature,Idea,Unconfirmed,
16,2026-07-31,Long,الطيور لا تضيع أبدًا: سر البوصلة الحية,Nature,Idea,Unconfirmed,
17,2026-08-01,Short,لماذا لا تصطدم أسراب الطيور أبدًا؟,Nature,Idea,Unconfirmed,
19,2026-08-03,Long,النمل: إمبراطورية عظمى بلا قائد,Nature / Thought,Idea,Unconfirmed,
20,2026-08-04,Short,الخريطة التي خدعت العالم كله,Thought,Idea,Unconfirmed,
22,2026-08-06,Long,كيف عرفنا عمر الكون؟,Science / Thought,Idea,Unconfirmed,
23,2026-08-07,Short,العاصفة التي أنقذت أمة مرتين,History,Idea,Unconfirmed,
25,2026-08-09,Long,الإمبراطورية التي هزمها الطقس,History / Strategy,Idea,Unconfirmed,
26,2026-08-10,Short,لماذا يبدو القمر أكبر عند الأفق؟,Science,Idea,Unconfirmed,
28,2026-08-12,Long,لماذا ننسى؟ رحلة داخل الذاكرة,Humanity / Thought,Idea,Unconfirmed,
29,2026-08-13,Short,الخطأ المطبعي الذي كلّف ملايين,Thought,Idea,Unconfirmed,Case must be verified in research first
