Day,Date,Format,Working_Title,Pillar,Status,Rights_Status,Notes
1,2026-07-16,Long,The Lost City of Ubar: The Atlantis of the Sands,Lost places,Idea,Unconfirmed,Launch video 1 - visuals licensing required
2,2026-07-17,Short,Why do sand dunes sing?,Desert knowledge,Idea,Unconfirmed,
4,2026-07-19,Long,How Bedouins Crossed the Desert Without Maps,Desert knowledge,Idea,Unconfirmed,Launch video 2
5,2026-07-20,Short,Dates and water. That's a survival meal.,Desert knowledge,Idea,Unconfirmed,
7,2026-07-22,Long,Pearl Divers of the Gulf: Life Before Oil,People of the desert,Idea,Unconfirmed,Launch video 3
8,2026-07-23,Short,How hot does the Empty Quarter actually get?,Desert knowledge,Idea,Unconfirmed,
10,2026-07-25,Long,The Incense Road: The Trade Route That Built Kingdoms,Lost places,Idea,Unconfirmed,
11,2026-07-26,Short,The camel fact nobody believes.,Desert knowledge,Idea,Unconfirmed,
13,2026-07-28,Long,Falconry: A 4000-Year Partnership,People of the desert,Idea,Unconfirmed,
14,2026-07-29,Short,Bedouins read stars like a map.,Desert knowledge,Idea,Unconfirmed,
16,2026-07-31,Long,Crossing the Empty Quarter: The World's Largest Sand Desert,Desert knowledge,Idea,Unconfirmed,
17,2026-08-01,Short,One pearl could feed a family for a year.,People of the desert,Idea,Unconfirmed,
19,2026-08-03,Long,The Poetry Wars of Old Arabia,People of the desert,Idea,Unconfirmed,
20,2026-08-04,Short,A falcon costs more than a car here. Here's why.,People of the desert,Idea,Unconfirmed,
22,2026-08-06,Long,Water in the Desert: The Genius of Ancient Arabian Engineering,Desert knowledge,Idea,Unconfirmed,
23,2026-08-07,Short,The desert wind has names.,Desert knowledge,Idea,Unconfirmed,
25,2026-08-09,Long,The Ghost Caravans: Desert Legends of Lost Travelers,Folklore,Idea,Unconfirmed,On-screen folklore label required
26,2026-08-10,Short,This poem stopped a war.,People of the desert,Idea,Unconfirmed,
28,2026-08-12,Long,The Majlis: Arabia's Original Social Network,People of the desert,Idea,Unconfirmed,
29,2026-08-13,Short,Why every desert has ghost stories.,Folklore,Idea,Unconfirmed,Folklore label required
