instrument,timeframe,observed_at_utc,open,high,low,close,spread,tick_volume
XAUUSD,M5,2026-01-05T00:00:00.000000Z,1900.00,1901.50,1899.00,1900.50,0.20,100
XAUUSD,M5,2026-01-05T00:05:00.000000Z,1900.50,1902.00,1899.50,1901.00,0.20,101
XAUUSD,M5,2026-01-05T00:10:00.000000Z,1901.00,1902.50,1900.00,1901.50,0.20,102
XAUUSD,M5,2026-01-05T00:15:00.000000Z,1901.50,1903.00,1900.50,1902.00,0.20,103
XAUUSD,M5,2026-01-05T00:20:00.000000Z,1902.00,1903.50,1901.00,1902.50,0.20,104
XAUUSD,M5,2026-01-05T00:25:00.000000Z,1902.50,1904.00,1901.50,1903.00,0.20,105
XAUUSD,M5,2026-01-05T00:30:00.000000Z,1903.00,1904.50,1902.00,1903.50,0.20,106
XAUUSD,M5,2026-01-05T00:35:00.000000Z,1903.50,1905.00,1902.50,1904.00,0.20,107
XAUUSD,M5,2026-01-05T00:40:00.000000Z,1904.00,1905.50,1903.00,1904.50,0.20,108
XAUUSD,M5,2026-01-05T00:45:00.000000Z,1904.50,1906.00,1903.50,1905.00,0.20,109
XAUUSD,M5,2026-01-05T00:50:00.000000Z,1905.00,1906.50,1904.00,1905.50,0.20,110
XAUUSD,M5,2026-01-05T00:55:00.000000Z,1905.50,1907.00,1904.50,1906.00,0.20,111
XAUUSD,M5,2026-01-05T01:00:00.000000Z,1906.00,1907.50,1905.00,1906.50,0.20,112
XAUUSD,M5,2026-01-05T01:10:00.000000Z,1906.50,1908.00,1905.50,1907.00,0.20,113
XAUUSD,M5,2026-01-05T01:15:00.000000Z,1907.00,1908.50,1906.00,1907.50,0.20,114
XAUUSD,M5,2026-01-05T01:20:00.000000Z,1907.50,1909.00,1906.50,1908.00,0.20,115
XAUUSD,M5,2026-01-05T01:25:00.000000Z,1908.00,1909.50,1907.00,1908.50,0.20,116
XAUUSD,M5,2026-01-05T01:30:00.000000Z,1908.50,1910.00,1907.50,1909.00,0.20,117
XAUUSD,M5,2026-01-05T01:35:00.000000Z,1909.00,1910.50,1908.00,1909.50,0.20,118
XAUUSD,M5,2026-01-05T01:40:00.000000Z,1909.50,1911.00,1908.50,1910.00,0.20,119
XAUUSD,M5,2026-01-05T01:45:00.000000Z,1910.00,1911.50,1909.00,1910.50,0.20,120
XAUUSD,M5,2026-01-05T01:50:00.000000Z,1910.50,1912.00,1909.50,1911.00,0.20,121
XAUUSD,M5,2026-01-05T01:55:00.000000Z,1911.00,1912.50,1910.00,1911.50,0.20,122
XAUUSD,M5,2026-01-05T02:00:00.000000Z,1911.50,1913.00,1910.50,1912.00,0.20,123
